swap_index,sol_in_SOL,price_per_token_SOL,retain_multiplier,total_sol_raised,total_tokens_minted,tokens_out_estimate,tokens_out_actual
256,0.006200,3.0995178460e-8,0.1619904832,1.587200,53917207000000000,200071000000000,200071000000000
257,0.006200,3.1007347248e-8,0.1620527717,1.593400,54117199000000000,199992000000000,199992000000000
258,0.006200,3.1019518424e-8,0.1621150603,1.599600,54317112000000000,199913000000000,199913000000000
259,0.006200,3.1031691988e-8,0.1621773488,1.605800,54516947000000000,199835000000000,199835000000000
260,0.006200,3.1043867941e-8,0.1622396373,1.612000,54716704000000000,199757000000000,199757000000000
261,0.006200,3.1056046282e-8,0.1623019258,1.618200,54916382000000000,199678000000000,199678000000000
262,0.006200,3.1068227011e-8,0.1623642143,1.624400,55115982000000000,199600000000000,199600000000000
263,0.006200,3.1080410128e-8,0.1624265028,1.630600,55315503000000000,199521000000000,199521000000000
264,0.006200,3.1092595634e-8,0.1624887913,1.636800,55514947000000000,199444000000000,199444000000000
265,0.006200,3.1104783528e-8,0.1625510798,1.643000,55714312000000000,199365000000000,199365000000000
266,0.006200,3.1116973810e-8,0.1626133683,1.649200,55913599000000000,199287000000000,199287000000000
267,0.006200,3.1129166481e-8,0.1626756568,1.655400,56112808000000000,199209000000000,199209000000000
268,0.006200,3.1141361540e-8,0.1627379454,1.661600,56311940000000000,199132000000000,199132000000000
269,0.006200,3.1153558987e-8,0.1628002339,1.667800,56510993000000000,199053000000000,199053000000000
270,0.006200,3.1165758822e-8,0.1628625224,1.674000,56709968000000000,198975000000000,198975000000000
271,0.006200,3.1177961046e-8,0.1629248109,1.680200,56908865000000000,198897000000000,198897000000000
272,0.006200,3.1190165658e-8,0.1629870994,1.686400,57107685000000000,198820000000000,198820000000000
273,0.006200,3.1202372658e-8,0.1630493879,1.692600,57306427000000000,198742000000000,198742000000000
274,0.006200,3.1214582046e-8,0.1631116764,1.698800,57505091000000000,198664000000000,198664000000000
275,0.006200,3.1226793823e-8,0.1631739649,1.705000,57703677000000000,198586000000000,198586000000000
276,0.006200,3.1239007988e-8,0.1632362534,1.711200,57902185000000000,198508000000000,198508000000000
277,0.006200,3.1251224542e-8,0.1632985419,1.717400,58100616000000000,198431000000000,198431000000000
278,0.006200,3.1263443483e-8,0.1633608304,1.723600,58298970000000000,198354000000000,198354000000000
279,0.006200,3.1275664813e-8,0.1634231190,1.729800,58497246000000000,198276000000000,198276000000000
280,0.006200,3.1287888531e-8,0.1634854075,1.736000,58695444000000000,198198000000000,198198000000000
281,0.006200,3.1300114638e-8,0.1635476960,1.742200,58893565000000000,198121000000000,198121000000000
282,0.006200,3.1312343133e-8,0.1636099845,1.748400,59091609000000000,198044000000000,198044000000000
283,0.006200,3.1324574016e-8,0.1636722730,1.754600,59289575000000000,197966000000000,197966000000000
